"data","Somalia","jowhar","lughaye","zeylac","bossaso","dharkenley","daynile","gaalkacyo","hodan","belet_weyne","hawl_wadaag","kahda","marka","caynabo","laas_caanood","xudun","laasqoray","baki","borama","berbera","gebiley","hargeysa","owdweyne","xamar_weyne","garowe","cabdlcasiis","boondheere","karaan","shibis","shangaani","waaberi","wadajir","wardhiigleey","xamar_jabjab","yaaqshiid","afgooye","baidoa","diinsoor","baardheere","belet_xaawo","ceel_waaq","doolow","luuq","garbahaarey","afmadow","kismayo","burco","buuhoodle","sheikh","ceel_afweyn","ceerigaabo","qardho","burtinle","galdogob","hobyo","dhuusamarreeb","cabudwaaq","cadaado","wanla_weyn","xudur","ceel_barde","waajid"
"Local NGO","16","28","0","40","25","7","12","6","5","9","10","6","14","50","0","0","0","12","10","0","0","56","0","14","19","0","50","0","0","14","17","16","0","0","67","0","31","0","25","12","0","0","62","0","33","21","33","0","12","50","22","8","0","0","0","0","0","20","0","0","0","0"
"International NGO","17","16","0","20","6","11","4","7","4","3","10","5","0","38","0","11","0","0","0","0","0","60","17","14","7","0","0","0","0","0","17","0","0","33","67","0","49","8","0","0","0","0","31","0","39","10","13","0","50","25","22","0","0","100","0","0","0","0","0","0","0","0"
"Residents themselves","27","20","0","0","35","11","23","62","20","15","0","14","29","0","6","33","20","0","0","0","0","4","78","0","0","28","0","0","0","0","8","5","0","0","0","0","37","83","75","100","0","0","46","50","33","56","20","19","0","0","44","0","0","0","0","0","38","40","0","11","100","0"
"Community Leader","37","33","58","40","38","44","44","75","35","14","38","41","29","25","44","33","80","50","90","10","0","8","83","14","15","39","0","0","0","14","0","37","27","100","17","3","24","75","100","100","0","50","46","75","28","49","53","100","12","0","100","0","0","100","33","0","50","80","0","89","0","0"
"Gatekeeper","35","20","5","20","19","67","63","86","31","39","52","52","71","12","17","11","87","12","0","10","0","0","17","71","7","33","25","100","50","71","67","53","18","67","83","6","8","92","0","50","0","50","77","50","22","15","67","38","0","0","56","0","0","100","67","0","100","100","0","0","0","0"
"Local community","28","14","11","20","21","37","40","56","23","26","48","38","14","25","72","56","87","75","0","10","0","4","61","57","15","44","0","0","0","43","8","63","18","67","83","4","8","92","0","62","33","100","23","50","28","24","33","94","0","0","100","17","25","40","0","0","25","80","0","22","50","0"
"No management","14","14","0","0","0","15","9","0","27","32","5","24","0","0","28","22","0","0","10","0","100","12","0","0","0","17","0","0","50","0","8","0","45","0","0","78","11","0","0","0","67","0","15","25","0","1","7","0","38","0","0","75","0","0","0","0","0","0","100","0","0","0"
"Other","1","0","0","0","0","0","1","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Do not know","2","10","0","0","0","15","3","0","0","9","0","5","0","0","0","0","0","0","0","0","25","4","0","0","0","0","0","0","0","0","0","0","9","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0"
"Are there any of the following committees established at the site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Residents’ committee","76","61","84","80","90","81","79","88","80","50","81","68","43","25","100","89","100","100","70","100","50","60","100","57","85","83","50","50","50","86","67","79","82","33","83","66","80","92","75","100","100","50","85","75","78","81","100","100","75","0","89","100","100","100","67","20","12","0","0","100","100","67"
"Camp Management Committee","86","68","100","100","100","89","80","95","80","73","81","86","71","100","100","100","93","100","100","90","50","92","100","86","100","83","100","100","100","100","67","68","91","100","100","92","85","100","100","100","100","100","100","100","100","95","100","94","100","100","100","100","100","100","100","100","100","100","17","100","100","100"
"Women’s committee","78","57","89","100","94","78","71","100","62","72","71","75","86","50","44","78","93","100","80","80","75","60","89","57","96","78","50","50","50","86","75","63","100","100","83","77","82","100","100","12","100","100","77","75","61","83","100","100","100","100","100","100","100","100","100","70","75","100","17","100","100","17"
"Elder","45","41","68","40","79","67","45","85","15","23","62","44","86","25","44","89","40","100","20","80","0","0","56","29","70","28","50","0","50","57","33","53","82","67","67","24","42","58","25","75","67","100","23","50","28","47","93","88","75","0","100","83","100","0","0","10","88","60","0","0","0","0"
"WASH committee","33","9","79","100","98","15","25","66","14","22","43","7","29","25","33","33","47","100","0","40","0","4","6","0","48","0","0","0","0","14","25","11","27","67","0","5","45","92","25","38","0","100","85","25","33","36","100","88","75","75","89","92","100","100","0","0","75","80","0","11","50","0"
"Health committee","21","4","68","80","81","7","13","57","1","15","10","6","0","25","61","0","33","75","0","30","75","20","0","29","11","0","0","0","0","0","42","0","9","67","0","4","30","42","0","38","0","100","46","0","22","13","87","94","50","0","100","67","0","60","0","0","50","80","0","0","0","0"
"Education committee","14","3","74","100","65","11","10","53","0","11","0","4","0","38","67","11","60","62","0","60","100","28","6","0","0","0","0","0","0","0","25","16","9","33","0","3","8","50","0","62","0","50","8","0","11","6","87","75","0","0","89","75","25","0","0","0","75","40","0","11","25","0"
"Children's committee","7","1","0","0","48","7","6","36","0","7","0","1","14","25","0","0","0","12","0","20","0","0","0","14","7","0","0","0","0","0","8","11","9","67","17","0","3","0","0","12","0","0","0","0","0","3","67","50","0","0","67","17","0","20","0","0","38","0","0","0","0","0"
"No committees","3","6","0","0","0","0","6","0","3","1","0","7","0","0","0","0","0","0","0","0","0","4","0","0","0","11","0","0","0","0","8","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67","0","0","0"
"Do not know","1","14","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0"
"Other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0"
"Are women involved in decision-making in committees established at the site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yes","99.5","94","100","100","100","100","99.75","100","100","100","100","99.69","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.49","100","100","100","100","100","100","100","100","97.8","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"No","0.5","6","0","0","0","0","0.25","0","0","0","0","0.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.51","0","0","0","0","0","0","0","0","2.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Who owns the land on which the site is established?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Private owner","75","14.49","0","0","83.33","55.56","96.06","71.59","48.65","94.57","61.9","96.22","57.14","12.5","11.11","33.33","0","0","10","10","25","20","16.67","28.57","74.07","38.89","25","0","0","42.86","75","89.47","45.45","100","100","72.15","86.08","41.67","75","25","0","0","38.46","75","16.67","86.81","6.67","18.75","25","0","0","33.33","0","80","100","60","50","20","50","44.44","0","50"
"NC","6.29","7.25","5.26","40","12.5","3.7","1.62","10.23","8.11","2.17","0","0.58","14.29","0","0","0","6.67","0","40","20","25","20","22.22","28.57","7.41","0","25","50","25","0","16.67","5.26","0","0","0","0","6.62","58.33","0","12.5","0","0","15.38","0","11.11","1.1","40","0","37.5","87.5","55.56","25","0","0","0","10","12.5","60","16.67","11.11","75","33.33"
"Local authority / government","6.13","30.43","0","40","0","11.11","0.46","10.23","21.62","0","38.1","0","0","25","0","0","0","25","40","20","0","20","16.67","14.29","11.11","38.89","25","0","0","14.29","0","5.26","9.09","0","0","18.99","0.17","0","0","0","66.67","100","15.38","0","38.89","9.34","13.33","0","0","0","0","33.33","75","20","0","0","0","20","0","11.11","25","16.67"
"No owner","5.97","17.39","94.74","20","2.08","0","0.93","6.82","0","0","0","3.2","28.57","37.5","88.89","66.67","93.33","75","0","50","0","0","38.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0.85","0","0","12.5","33.33","0","23.08","25","33.33","0","26.67","81.25","25","0","0","0","0","0","0","10","12.5","0","0","0","0","0"
"Mixed landownership","3.86","11.59","0","0","2.08","25.93","0","1.14","0","2.17","0","0","0","25","0","0","0","0","10","0","25","40","5.56","28.57","7.41","0","0","0","0","0","0","0","0","0","0","0","6.11","0","25","50","0","0","7.69","0","0","1.1","13.33","0","12.5","12.5","44.44","8.33","25","0","0","10","12.5","0","0","33.33","0","0"
"Federal government","2.59","18.84","0","0","0","3.7","0.93","0","21.62","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","22.22","25","50","75","42.86","8.33","0","45.45","0","0","8.86","0.17","0","0","0","0","0","0","0","0","1.65","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0"
"Prefer not to answer","0.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.33","0","0","0"
"Other","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.5","0","0","0","0","0"
"Private owner","0.04","0","0","0","0","0","0","0","0","1.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Is there an existing land tenure agreement between residents' and the land owner of the site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yes, written agreement","45.87","3.7","0","0","31.91","26.92","64.85","17.28","18.92","24.18","0","77.92","20","0","0","0","0","0","0","0","0","50","10","14.29","62.96","22.22","0","0","0","0","0","11.11","0","0","0","7.59","68.32","8.33","0","0","0","50","10","0","50","8.24","0","0","0","0","0","0","75","20","0","0","28.57","0","0","0","0","0"
"No agreement","22.18","83.33","100","100","29.79","34.62","9.74","40.74","21.62","30.77","70","4.42","60","100","0","66.67","100","100","100","100","75","37.5","80","71.43","7.41","16.67","100","50","100","57.14","66.67","11.11","72.73","66.67","83.33","49.37","4.28","91.67","0","42.86","100","50","50","0","0","31.87","63.64","0","83.33","100","100","91.67","25","0","0","44.44","14.29","0","0","88.89","100","16.67"
"Yes, oral agreement","19.86","9.26","0","0","23.4","34.62","15.2","25.93","47.3","31.87","10","10.09","20","0","100","0","0","0","0","0","25","4.17","0","0","22.22","61.11","0","50","0","28.57","33.33","66.67","18.18","33.33","16.67","34.18","9.59","0","100","28.57","0","0","0","100","25","51.1","0","100","0","0","0","0","0","80","66.67","22.22","28.57","20","75","11.11","0","50"
"NC","12.08","3.7","0","0","14.89","3.85","10.21","16.05","12.16","13.19","20","7.57","0","0","0","33.33","0","0","0","0","0","8.33","10","14.29","7.41","0","0","0","0","14.29","0","11.11","9.09","0","0","8.86","17.81","0","0","28.57","0","0","40","0","25","8.79","36.36","0","16.67","0","0","8.33","0","0","33.33","33.33","28.57","80","25","0","0","33.33"
"In the past 3 months, how many individuals have been evicted from this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","0.99","0","0","0","10.46","0.11","0.77","0.01","1.46","0.15","0","0.53","6","0","0.44","0","0","0","2.4","0","0","0","0.06","0","2.52","0","0","0","0.5","0","0.08","3.11","1.27","0","0","0","1.35","0.17","0","0","0","0","1.54","0","9.67","0.75","0.07","0.25","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0"
"In the past 3 months, has this site been issued an eviction notice?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No","85.59","93.44","100","100","45.83","70.83","90.73","88.64","90.28","96.63","89.47","91.02","71.43","100","88.89","100","100","87.5","90","100","75","88","100","83.33","51.85","100","100","100","75","85.71","83.33","73.68","100","33.33","100","94.67","80.17","100","50","100","66.67","100","83.33","75","55.56","76.84","80","93.75","87.5","87.5","77.78","91.67","100","100","66.67","100","100","80","75","100","100","100"
"Yes","14.41","6.56","0","0","54.17","29.17","9.27","11.36","9.72","3.37","10.53","8.98","28.57","0","11.11","0","0","12.5","10","0","25","12","0","16.67","48.15","0","0","0","25","14.29","16.67","26.32","0","66.67","0","5.33","19.83","0","50","0","33.33","0","16.67","25","44.44","23.16","20","6.25","12.5","12.5","22.22","8.33","0","0","33.33","0","0","20","25","0","0","0"
"What are the most common types of shelters present in this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Buul","93","83","100","100","92","85","97","94","74","71","100","94","100","100","94","100","100","100","90","100","100","100","100","57","85","56","50","100","0","71","67","89","100","100","100","82","98","100","100","100","100","100","92","100","100","93","100","100","100","100","100","67","75","100","100","100","88","100","100","100","100","100"
"Tent","27","55","0","20","50","48","41","31","35","40","14","34","0","0","0","0","0","0","0","10","25","0","0","14","37","39","0","50","50","0","33","89","27","33","67","15","17","8","0","0","0","50","15","0","50","10","0","6","0","100","0","8","0","20","67","20","12","0","0","0","0","0"
"Timber and plastic sheet with CGI roof","9","35","0","0","21","15","11","5","8","8","5","6","0","0","0","0","0","0","0","10","0","0","0","29","22","11","0","0","25","0","17","21","0","33","50","11","7","0","0","0","0","100","23","0","28","9","0","6","0","0","0","8","0","0","67","20","0","20","0","89","25","0"
"Shelter constructed using shelter kit","37","48","16","0","79","30","52","55","23","29","76","35","0","0","6","0","67","0","0","10","0","0","6","86","56","22","0","0","0","14","42","58","9","33","100","20","36","0","25","0","0","100","62","0","33","36","7","0","12","0","11","8","25","0","100","20","25","20","33","67","0","0"
"CGI sheet wall and roof","30","38","26","40","90","52","19","69","46","15","52","12","0","0","89","11","67","0","30","30","50","84","50","86","52","72","100","0","75","100","58","68","82","67","100","41","13","0","25","12","0","100","38","25","28","46","13","50","38","38","78","83","0","80","67","100","100","40","0","0","25","0"
"Mud and stick wall with CGI roof","9","25","0","20","15","30","2","8","4","10","24","3","0","25","11","11","27","0","0","10","75","24","6","29","63","6","25","0","0","14","25","5","18","67","33","8","5","8","25","75","0","100","0","0","39","16","0","12","50","25","44","8","0","60","33","0","12","20","0","11","25","0"
"Plywood wall with CGI roof","4","33","0","0","19","4","0","6","1","4","0","1","0","25","0","0","47","12","10","10","0","16","0","29","11","0","0","0","0","0","0","0","0","0","0","1","2","0","0","12","0","50","0","0","6","3","0","19","0","0","11","8","0","0","0","10","0","0","0","0","25","0"
"Stone/brick wall with CGI roof: Type 1","5","35","16","20","15","0","0","12","0","0","0","1","0","0","0","11","67","12","30","10","0","36","22","14","4","6","0","0","0","0","8","0","0","0","0","16","1","0","0","0","0","100","0","0","6","1","7","6","0","0","67","0","75","20","0","40","0","0","0","0","0","0"
"Stone/brick wall with CGI roof: Type 2","5","39","16","0","0","0","0","7","0","0","0","0","0","0","67","0","40","0","10","10","0","40","6","29","7","0","0","0","0","29","17","0","0","0","0","15","1","0","0","0","0","0","0","0","22","2","0","0","0","0","100","33","100","20","0","50","0","0","0","0","0","0"
"Other","1","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","7","0","0","0","0","14","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","12","0","0","8","0","0","0","10","0","0","0","0","0","0"
"Buul","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
